ticker,name
7203.T,トヨタ自動車
6758.T,ソニーグループ
9984.T,ソフトバンクグループ
6861.T,キーエンス
8306.T,三菱UFJフィナンシャル・グループ
9432.T,日本電信電話
9433.T,KDDI
9434.T,ソフトバンク
4063.T,信越化学工業
6098.T,リクルートホールディングス
8035.T,東京エレクトロン
6501.T,日立製作所
7974.T,任天堂
9983.T,ファーストリテイリング
4519.T,中外製薬
4568.T,第一三共
6367.T,ダイキン工業
6594.T,ニデック
6902.T,デンソー
7267.T,本田技研工業
8058.T,三菱商事
8001.T,伊藤忠商事
8031.T,三井物産
8053.T,住友商事
8002.T,丸紅
8411.T,みずほフィナンシャルグループ
8316.T,三井住友フィナンシャルグループ
8766.T,東京海上ホールディングス
8750.T,第一生命ホールディングス
2914.T,日本たばこ産業
4502.T,武田薬品工業
4503.T,アステラス製薬
4507.T,塩野義製薬
4523.T,エーザイ
6273.T,SMC
6301.T,小松製作所
6326.T,クボタ
6503.T,三菱電機
6752.T,パナソニックホールディングス
6954.T,ファナック
6971.T,京セラ
6981.T,村田製作所
7011.T,三菱重工業
7013.T,IHI
7269.T,スズキ
7270.T,SUBARU
7733.T,オリンパス
7741.T,HOYA
7751.T,キヤノン
7832.T,バンダイナムコホールディングス
8267.T,イオン
8591.T,オリックス
8604.T,野村ホールディングス
8801.T,三井不動産
8802.T,三菱地所
9020.T,東日本旅客鉄道
9022.T,東海旅客鉄道
9101.T,日本郵船
9104.T,商船三井
9201.T,日本航空
9202.T,ANAホールディングス
9501.T,東京電力ホールディングス
9503.T,関西電力
9531.T,東京ガス
9613.T,NTTデータグループ
9735.T,セコム
9766.T,コナミグループ
1925.T,大和ハウス工業
1928.T,積水ハウス
2502.T,アサヒグループホールディングス
2503.T,キリンホールディングス
2801.T,キッコーマン
2802.T,味の素
3382.T,セブン&アイ・ホールディングス
3402.T,東レ
3407.T,旭化成
4452.T,花王
4901.T,富士フイルムホールディングス
4911.T,資生堂
5108.T,ブリヂストン
5401.T,日本製鉄
5713.T,住友金属鉱山
5802.T,住友電気工業
6178.T,日本郵政
4661.T,オリエンタルランド
6857.T,アドバンテスト
6920.T,レーザーテック
6146.T,ディスコ
6723.T,ルネサスエレクトロニクス
2413.T,エムスリー
4385.T,メルカリ
4755.T,楽天グループ
6532.T,ベイカレント・コンサルティング
3092.T,ZOZO
3659.T,ネクソン
4689.T,LINEヤフー
6702.T,富士通
6701.T,日本電気
7735.T,SCREENホールディングス
8015.T,豊田通商
8113.T,ユニ・チャーム
4543.T,テルモ
4578.T,大塚ホールディングス
6465.T,ホシザキ
6506.T,安川電機
7936.T,アシックス
9843.T,ニトリホールディングス
2897.T,日清食品ホールディングス
