ticker,name,market,sector,industry,currency,score,metric_coverage,market_cap,roe,operating_margin,revenue_growth,earnings_growth,pe,pb,dividend_yield,debt_to_equity
MO,Altria,us,Consumer Defensive,Tobacco,USD,0.8024986709197235,5,119881490432.0,,0.62294996,0.053,1.063,14.987474,,5.92,
MU,Micron Technology,us,Technology,Semiconductors,USD,0.7952696587990705,8,1106014765056.0,0.66638,0.80370003,3.457,13.685,22.126074,15.245108,0.05,6.33
EOG,EOG Resources,us,Energy,Oil & Gas E&P,USD,0.78,8,71425490944.0,0.18195,0.37877998,0.156,0.396,13.19882,2.3205512,3.04,26.873
NVDA,NVIDIA,us,Technology,Semiconductors,USD,0.7630346815021738,8,5109662089216.0,1.14288,0.65596,0.852,2.145,32.25688,26.141266,0.49,6.555
7832.T,バンダイナムコホールディングス,japan,Consumer Cyclical,Leisure,JPY,0.71896336996337,8,2576366960640.0,0.17034,0.09284,0.21,41.949,18.484262,2.9930615,1.19,1.408
6532.T,ベイカレント・コンサルティング,japan,Industrials,Consulting Services,JPY,0.7038472706155633,8,1003072323584.0,0.35793,0.37120998,0.303,0.236,26.881979,8.682722,1.94,5.618
BKNG,Booking Holdings,us,Consumer Cyclical,Travel Services,USD,0.7022943722943722,5,138230562816.0,,0.25035998,0.162,2.4,23.534302,,0.92,
6857.T,アドバンテスト,japan,Technology,Semiconductor Equipment & Materials,JPY,0.6857719519948622,8,21621192523776.0,0.57646,0.45907003,0.412,2.206,57.803356,27.197971,0.2,2.538
7269.T,スズキ,japan,Consumer Cyclical,Auto Manufacturers,JPY,0.685485347985348,8,3928001609728.0,0.13873,0.0988,0.152,0.273,8.944733,1.161415,2.55,18.026
4507.T,塩野義製薬,japan,Healthcare,Drug Manufacturers - Specialty & Generic,JPY,0.6822725008069837,8,2410387865600.0,0.13508001,0.07789,0.328,0.281,11.750674,1.430315,2.68,40.588
2914.T,日本たばこ産業,japan,Consumer Defensive,Tobacco,JPY,0.680968352253182,8,10859862556672.0,0.13618,0.32724997,0.117,0.251,21.739285,2.6580374,3.96,48.293
9531.T,東京ガス,japan,Utilities,Utilities - Regulated Gas,JPY,0.68,8,1980620210176.0,0.12762,0.0696,0.003,0.799,9.115773,1.1571598,2.01,70.115
4503.T,アステラス製薬,japan,Healthcare,Drug Manufacturers - General,JPY,0.6761515304618753,8,3837376331776.0,0.17438,0.20037001,0.171,-0.412,13.209991,2.0980234,3.73,36.723
9202.T,ANAホールディングス,japan,Industrials,Airlines,JPY,0.6687688734030198,8,1329511530496.0,0.1294,0.05549,0.184,0.503,9.389788,0.91728276,1.99,77.979
REGN,Regeneron Pharmaceuticals,us,Healthcare,Biotechnology,USD,0.6617156470604746,8,69667635200.0,0.14548,0.20658001,0.19,-0.072,16.235525,2.1552582,0.57,8.612
VRTX,Vertex Pharmaceuticals,us,Healthcare,Biotechnology,USD,0.6511387886161025,7,123194621952.0,0.24197,0.38126,0.078,0.614,28.823635,6.3717036,,10.26
3659.T,ネクソン,japan,Communication Services,Electronic Gaming & Multimedia,JPY,0.6479166666666667,8,1789368729600.0,0.11564,0.38206002,0.336,1.246,20.0,1.7016034,2.63,4.776
3092.T,ZOZO,japan,Consumer Cyclical,Internet Retail,JPY,0.6452216117216119,8,1024206897152.0,0.46640998,0.25539,0.087,0.173,21.457602,9.61841,3.44,18.729
6902.T,デンソー,japan,Consumer Cyclical,Auto Parts,JPY,0.6432948717948718,8,5205065203712.0,0.08941,0.09092,0.091,0.689,7.49622,0.947599,3.83,14.929
4519.T,中外製薬,japan,Healthcare,Drug Manufacturers - General,JPY,0.6397507721037133,7,12160543490048.0,0.23707001,0.49345002,0.115,0.187,28.010918,6.374405,1.79,
META,Meta Platforms,us,Communication Services,Internet Content & Information,USD,0.6352083333333334,8,1698738339840.0,0.32930002,0.40617,0.331,0.624,24.33491,6.969994,0.31,35.608
4578.T,大塚ホールディングス,japan,Healthcare,Drug Manufacturers - General,JPY,0.6308199303888959,8,5876525039616.0,0.12943,0.18754,0.082,0.175,16.339916,1.8976125,1.25,6.132
8411.T,みずほフィナンシャルグループ,japan,Financial Services,Banks - Regional,JPY,0.6285403050108933,7,20239494414336.0,0.11439,0.2587,0.449,6.798,16.529041,1.7900205,1.81,
5802.T,住友電気工業,japan,Consumer Cyclical,Auto Parts,JPY,0.6229945054945054,8,8055012458496.0,0.14953,0.103369996,0.149,1.401,21.787191,2.9361062,1.51,24.31
